val	1	UP
val	2	BROADCAST
val	4	DEBUG
val	8	LOOPBACK
val	16	POINTTOPOINT
val	32	NOTRAILERS
val	64	RUNNING
val	128	NOARP
val	256	PROMISC
val	512	ALLMULTI
val	1024	MASTER
val	2048	SLAVE
val	4096	MULTICAST
val	8192	PORTSEL
val	16384	AUTOMEDIA
val	32768	DYNAMIC
val	65536	LOWER_UP
val	131072	DORMANT
val	262144	ECHO
parse	UP	1
parse	BROADCAST	2
parse	DEBUG	4
parse	LOOPBACK	8
parse	POINTTOPOINT	16
parse	NOTRAILERS	32
parse	RUNNING	64
parse	NOARP	128
parse	PROMISC	256
parse	ALLMULTI	512
parse	MASTER	1024
parse	SLAVE	2048
parse	MULTICAST	4096
parse	PORTSEL	8192
parse	AUTOMEDIA	16384
parse	DYNAMIC	32768
parse	LOWER_UP	65536
parse	DORMANT	131072
parse	ECHO	262144
parse	__nope__	ERR
