/etc/kubernetes/pki/ca.crt	config	ca.crt	true
/etc/kubernetes/pki/ca.key	secret	ca.key	true
/etc/kubernetes/pki/sa.key	secret	sa.key	true
/etc/kubernetes/pki/sa.pub	config	sa.pub	true
/etc/kubernetes/pki/etcd/ca.crt	config	etcd-ca.crt	true
/etc/kubernetes/pki/front-proxy-ca.crt	config	front-proxy-ca.crt	true
/etc/kubernetes/pki/apiserver.crt	config	apiserver.crt	true
/etc/kubernetes/pki/apiserver.key	secret	apiserver.key	true
/etc/kubernetes/pki/apiserver-etcd-client.crt	config	apiserver-etcd-client.crt	true
/etc/kubernetes/pki/apiserver-etcd-client.key	secret	apiserver-etcd-client.key	true
/etc/kubernetes/pki/front-proxy-client.crt	config	front-proxy-client.crt	true
/etc/kubernetes/pki/front-proxy-client.key	secret	front-proxy-client.key	true
/etc/kubernetes/pki/apiserver-kubelet-client.crt	config	apiserver-kubelet-client.crt	true
/etc/kubernetes/pki/apiserver-kubelet-client.key	secret	apiserver-kubelet-client.key	true
