no-machine-config-physical-link	absent	eth0	ether		-	true	links=source=default/eth0,name=eth0;up=true;mtu=0;multicast=;kind=physical;members=;mode=;parent=;vlan_id=0;vlan_protocol=;layer=default;operators=kind=dhcp4;link=eth0;require_up=true;route_metric=1024;skip_hostname=false;client=mac;duid=;layer=default
minimal-machine-config-physical-link	minimal	eth0	ether		-	true	links=source=default/eth0,name=eth0;up=true;mtu=0;multicast=;kind=physical;members=;mode=;parent=;vlan_id=0;vlan_protocol=;layer=default;operators=kind=dhcp4;link=eth0;require_up=true;route_metric=1024;skip_hostname=false;client=mac;duid=;layer=default
physical-carrier-down-still-source-candidate	minimal	eth0	ether		-	false	links=source=default/eth0,name=eth0;up=true;mtu=0;multicast=;kind=physical;members=;mode=;parent=;vlan_id=0;vlan_protocol=;layer=default;operators=kind=dhcp4;link=eth0;require_up=true;route_metric=1024;skip_hostname=false;client=mac;duid=;layer=default
legacy-static-interface-suppresses	legacy-static	eth0	ether		-	true	links=-;operators=-
linkconfig-doc-globally-suppresses	linkconfig	eth0	ether		-	true	links=-;operators=-
dhcpv4-doc-globally-suppresses	dhcpv4doc	eth0	ether		-	true	links=-;operators=-
nonphysical-vlan-skipped	minimal	eth0.100	ether	vlan	-	true	links=-;operators=-
legacy-static-eth0-sibling-eth1-still-default	legacy-static	eth1	ether		-	true	links=source=default/eth1,name=eth1;up=true;mtu=0;multicast=;kind=physical;members=;mode=;parent=;vlan_id=0;vlan_protocol=;layer=default;operators=kind=dhcp4;link=eth1;require_up=true;route_metric=1024;skip_hostname=false;client=mac;duid=;layer=default
legacy-static-alias-suppresses	legacy-static	eth7	ether		eth0	true	links=-;operators=-
legacy-ignore-alias-suppresses	legacy-ignore	eth7	ether		eth0	true	links=-;operators=-
