01-controlplane-full.yaml	valid	controlplane	cp-01	/dev/sda
02-controlplane-no-hostname-no-install.yaml	valid	controlplane		
03-controlplane-hostname-no-install.yaml	valid	controlplane	cp-03	
04-worker-full.yaml	valid	worker	worker-04	/dev/vda
05-worker-no-hostname-no-install.yaml	valid	worker		
06-worker-hostname-no-install.yaml	valid	worker	worker-06	
07-worker-install-no-hostname.yaml	valid	worker		/dev/nvme0n1
08-controlplane-certsans.yaml	valid	controlplane	cp-08	/dev/sda
09-invalid-bad-type.yaml	invalid	unknown		
10-invalid-missing-machine.yaml	invalid	worker		
11-invalid-malformed.yaml	invalid			
12-invalid-no-endpoint.yaml	invalid	controlplane		
13-invalid-worker-ca-key.yaml	invalid	worker		
14-init-full.yaml	valid	init	init-14	/dev/sda
15-controlplane-rich-network.yaml	valid	controlplane	cp-15	/dev/sda
16-worker-rich.yaml	valid	worker	worker-16	/dev/vda
17-controlplane-install-image-only.yaml	valid	controlplane	cp-17	/dev/sda
18-worker-sysctls-env-only.yaml	valid	worker	worker-18	
19-init-cluster-network.yaml	valid	init	init-19	/dev/sda
20-worker-minimal-kubelet.yaml	valid	worker		
