ca.crt	/etc/kubernetes/pki/ca.crt	config	ca-cert	kubernetes	raw-file	true
ca.key	/etc/kubernetes/pki/ca.key	secret	ca-key	kubernetes	raw-file	true
sa.key	/etc/kubernetes/pki/sa.key	secret	service-account	private	raw-file	true
sa.pub	/etc/kubernetes/pki/sa.pub	config	service-account	public	raw-file	true
etcd-ca.crt	/etc/kubernetes/pki/etcd/ca.crt	config	ca-cert	etcd	raw-file	true
front-proxy-ca.crt	/etc/kubernetes/pki/front-proxy-ca.crt	config	ca-cert	aggregator	raw-file	true
apiserver.crt	/etc/kubernetes/pki/apiserver.crt	config	leaf-cert	ApiServer	raw-file	true
apiserver.key	/etc/kubernetes/pki/apiserver.key	secret	leaf-key	ApiServer	raw-file	true
apiserver-etcd-client.crt	/etc/kubernetes/pki/apiserver-etcd-client.crt	config	leaf-cert	ApiServerEtcdClient	raw-file	true
apiserver-etcd-client.key	/etc/kubernetes/pki/apiserver-etcd-client.key	secret	leaf-key	ApiServerEtcdClient	raw-file	true
front-proxy-client.crt	/etc/kubernetes/pki/front-proxy-client.crt	config	leaf-cert	FrontProxy	raw-file	true
front-proxy-client.key	/etc/kubernetes/pki/front-proxy-client.key	secret	leaf-key	FrontProxy	raw-file	true
apiserver-kubelet-client.crt	/etc/kubernetes/pki/apiserver-kubelet-client.crt	config	leaf-cert	ApiServerKubeletClient	raw-file	true
apiserver-kubelet-client.key	/etc/kubernetes/pki/apiserver-kubelet-client.key	secret	leaf-key	ApiServerKubeletClient	raw-file	true
ca.crt	/etc/kubernetes/controller-manager.conf	secret	ca-cert	kubernetes	kubeconfig-base64-ca	true
controller-manager.crt	/etc/kubernetes/controller-manager.conf	secret	leaf-cert	ControllerManager	kubeconfig-base64-client-cert	true
controller-manager.key	/etc/kubernetes/controller-manager.conf	secret	leaf-key	ControllerManager	kubeconfig-base64-client-key	true
ca.crt	/etc/kubernetes/scheduler.conf	secret	ca-cert	kubernetes	kubeconfig-base64-ca	true
scheduler.crt	/etc/kubernetes/scheduler.conf	secret	leaf-cert	Scheduler	kubeconfig-base64-client-cert	true
scheduler.key	/etc/kubernetes/scheduler.conf	secret	leaf-key	Scheduler	kubeconfig-base64-client-key	true
ca.crt	/etc/kubernetes/admin.conf	secret	ca-cert	kubernetes	kubeconfig-base64-ca	false
admin.crt	/etc/kubernetes/admin.conf	secret	leaf-cert	Admin	kubeconfig-base64-client-cert	false
admin.key	/etc/kubernetes/admin.conf	secret	leaf-key	Admin	kubeconfig-base64-client-key	false
